gender,name,surname
Male,Nicholas,Gulliver
Male,Noah,Guppy
Male,Norman,Guy
Male,Obadiah,Haddington
Male,Oliver,Hancock
Male,Owen,Hann
Male,Patrick,Harding
Male,Percival,Hardy
Male,Percy,Harris
Male,Peregrine,Haskett
Male,Peter,Hatcher
Male,Philip,Hawkins
Male,Phineas,Hayward
Male,Ralph,Herbert
Male,Reginald,Hervey
Male,Reuben,Hill
Male,Richard,Hind
Male,Robert,Hodge
Male,Roger,Honeyfield
Male,Rollo,Horder
Male,Sampson,Hose
Male,Samuel,Hoskins
Male,Seth,Hosmer
Male,Shadrack,Howe
Male,Sherborne,Hughes
Male,Silas,Humphries
Male,Simon,Hunt
Male,Solomon,Hunter
Male,Stephen,Huntington
Male,Theophile,Hyatt
Male,Thomas,Jarvis
Male,Timothy,Jennings
Male,Walter,Johnson
Male,William,Jones
Female,Abigail,Keats
Female,Agnes,Kendall
Female,Albina,Kingman
Female,Alice,Knight
Female,Alicia,Lambert
Female,Amelia,Langley
Female,Amy,Leeson
Female,Angel,Lewis
Female,Ann,Lightholder
Female,Anne,Lilley
Female,Arabella,Linfield
Female,Augusta,Livingston
Female,Awellah,Lock
Female,Barbara,Lockhart
Female,Beatrice,Longman
Female,Betsey,Lovell
Female,Betty,Lush
Female,Bridget,Lymington
Female,Caroline,Major
Female,Catherine,Mead
Female,Cecilia,Merchant
Female,Charity,Miash
Female,Charlotte,Miller
Female,Christianna,Montagu
Female,Deborah,Montgomery
Female,Diana,Moore
Female,Dinah,Morton
Female,Dorothea,Mowatt
Female,Dorothy,Mowbray
Female,Edith,Mullens
Female,Eleanor,Munro
Female,Eliza,Neal
Female,Elizabeth,Needs
Female,Ellen,Nicholson
Female,Emily,Nightingale
Female,Emma,Norman
Female,Emmeline,Notley
Female,Esther,Nott
Female,Fanny,Oakley
Female,Florentia,Oliver
Female,Frances,Parsons
Female,Frederica,Pemberton
Female,Georgiana,Pembroke
Female,Georgina,Perry
Female,Grace,Pike
Female,Hannah,Place
Female,Harriet,Plowman
Female,Helen,Powell
Female,Helena,Pratt
Female,Henrietta,Price
Female,Hester,Radcliff
Female,Honora,Rake
Female,Horatia,Ramsbury
Female,Isabel,Rayment
Female,Isabella,Read
Female,Jane,Reeves
Female,Jean,Reid
Female,Jemima,Repington
Female,Jenny,Richards
Female,Jessie,Ridlington
Female,Joan,Ridout
Female,Joanna,Robins
Female,Joyce,Rowe
Female,Judith,Rowley
Female,Julia,Russ
Female,Juliana,Russell
Female,Juliet,Ruteledge
Female,Katherine,Rutley
Female,Kitty,Scriven
Female,Laura,Sculthorpe
Female,Lavinia,Sedgewick
Female,Leah,Selkirk
Female,Letitia,Sempill
Female,Lilias,Sergeant
Female,Louisa,Seton
Female,Lucy-Anne,Seymour
Female,Lucy,Sharp
Female,Lydia,Shepherd
Female,Madalene,Sims
Female,Margaret,Sinclair
Female,Maria,Skeffington
Female,Marianne,Skinner
Female,Marina,Slade
Female,Marjorie,Slyfeel
Female,Martha,Snowley
Female,Mary Ann,Soulden
Female,Mary,Spranklin
Female,Matilda,St. Clair
Female,Miriam,St. George
Female,Modesty,St. John
Female,Nancy,St. Vincent
Female,Patience,Stanhope
Female,Peace,Stanton
Female,Peggy,Stapleton
Female,Phillis,Stay
Female,Phoebe,Stewart
Female,Phyllis,Stickland
Female,Priscilla,Stone
Female,Prudence,Storey
Female,Rachel,Sullyard
Female,Rebecca,Sweet
Female,Rose,Swinton
Female,Ruth,Talbot
Female,Sally,Tattershall
Female,Sarah,Templeton
Female,Selina,Terrell
Female,Sophia,Thorne
Female,Susan,Thrup
Female,Susannah,Townshend
Female,Tabitha,Trew
Female,Teresa,Trowbridge
Female,Theodosia,Tulk
Female,Unity,Turner
Female,Anna,Vaughan
Female,Mary-Anne,Vivian
Female,Susanna,Voss
,,Walford
,,Wallace
,,Ware
,,Warren
,,Warwick
,,Watts
,,Webb
,,Weston
,,White
,,Wilds
,,Wilmington
,,Wilson
,,Windham
,,Wood
,,Worthington
,,Wright
,,Wycliff
,,Wynn
,,Yeatman
,,Young
